Breed name	Function
Basenji	BASE of dogs
WolfTibetan	Gray_wolf
AfghanHound	Herding
Akbash	Herding
AnatolianShepherdDog	Herding
Beauceron	Herding
BergerBlancSuisse	Herding
BergerPicard	Herding
BlackRussianTerrier	Herding
CaucasianOvcharka	Herding
Chinook	Herding
CirnecodellEtna	Herding
Doberman	Herding
DutchShepherd	Herding
FonniDog	Herding
GermanShepherd	Herding
GiantSchnauzer	Herding
GreatPyrenees	Herding
IbizanHound	Herding
Komondor	Herding
Kuvasz	Herding
LancashireHeeler	Herding
LapponianHerder	Herding
MastinoAbruzzese	Herding
MexicanHairless	Herding
PeruvianHairless	Herding
PharaohHound	Herding
Rottweiler	Herding
Saluki	Herding
Sloughi	Herding
Tornjak	Herding
Xoloitzcuintli	Herding
AlpineDachsbrake	Hound
AmericanFoxhound	Hound
BassetHound	Hound
BavarianHound	Hound
Beagle	Hound
Bloodhound	Hound
BrittanySpaniel	Hound
Coonhound	Hound
Dachshund	Hound
Dalmatian	Hound
EnglishFoxhound	Hound
EnglishPointer	Hound
EnglishSetter	Hound
EntlebucherSennenhund	Hound
GermanShorthairedPointer	Hound
GermanWirehairedPointer	Hound
GordonSetter	Hound
GrandeBassetGriffonVendeen	Hound
Hovawart	Hound
IrishRedandWhiteSetter	Hound
IrishSetter	Hound
IstrianShorthairedHound	Hound
MountainCur	Hound
Otterhound	Hound
PetitBassetGriffonVendeen	Hound
Pointer	Hound
PortuguesePodengo	Hound
PortuguesePodengoPequeno	Hound
Shikoku	Hound
SmallMunsterlander	Hound
SpinoneItaliano	Hound
TreeingWalkerCoonhound	Hound
Vizsla	Hound
Weimaraner	Hound
WirehairedPointingGriffon	Hound
XiasiDog	Hound
AlapahaBlueBloodBulldog	Mastiff
AmericanStaffordshireTerrier	Mastiff
Boerboel	Mastiff
BostonTerrier	Mastiff
Boxer	Mastiff
Bulldog	Mastiff
BullMastiff	Mastiff
BullTerrier	Mastiff
CaneCorso	Mastiff
ChongqingDog	Mastiff
DogoArgentino	Mastiff
DogueDeBordeaux	Mastiff
EnglishBulldog	Mastiff
EnglishMastiff	Mastiff
FrenchBulldog	Mastiff
GreatDane	Mastiff
MiniatureBullTerrier	Mastiff
NeapolitanMastiff	Mastiff
PhuquocRidgeback	Mastiff
RhodesianRidgeback	Mastiff
StaffordshireBullTerrier	Mastiff
TosaInu	Mastiff
BerneseMountainDog	MountainDog
GreaterSwissMountainDog	MountainDog
Leonberger	MountainDog
SaintBernard	MountainDog
HighlandWildDog	NGSD
NewGuineaSingingDog	NGSD
CarolinaDog	Non-breed
CatahoulaLeopardDog	Non-breed
ChineseIndigenousDog	Non-breed
IndigenousDogNigeria	Non-breed
IndigenousDogVietnam	Non-breed
Jindo	Non-breed
KintamaniDog	Non-breed
Kromfohrlander	Non-breed
KunmingDog	Non-breed
MauritianDog	Non-breed
PeruvianVillageDog	Non-breed
QingchuanDog	Non-breed
Stabyhoun	Non-breed
IcelandicSheepdog	NorthernSpitz
Keeshond	NorthernSpitz
NorwegianElkhound	NorthernSpitz
SwedishVallhund	NorthernSpitz
CurlyCoatedRetriever	Retreiver
FlatCoatedRetriever	Retreiver
GoldenRetriever	Retreiver
IrishWaterSpaniel	Retreiver
LabradorRetriever	Retreiver
Landseer	Retreiver
Newfoundland	Retreiver
NovaScotiaDuckTollingRetriever	Retreiver
ChesapeakeBayRetriever	Retriever
BelgianLaekenois	Sheepdog
BelgianMalinois	Sheepdog
BelgianSheepdog	Sheepdog
BelgianTervuren	Sheepdog
BouvierDesFlandres	Sheepdog
Briard	Sheepdog
Maremma	Sheepdog
Mudi	Sheepdog
PatagonianOvejeroDog	Sheepdog
Puli	Sheepdog
Pumi	Sheepdog
AustralianCattleDog	Sighthound
AustralianShepherd	Sighthound
BeardedCollie	Sighthound
Borzoi	Sighthound
CardiganWelshCorgi	Sighthound
Collie	Sighthound
CretanTracer	Sighthound
GreekTracer	Sighthound
Greyhound	Sighthound
IrishWolfhound	Sighthound
ItalianGreyhound	Sighthound
OldEnglishSheepdog	Sighthound
PembrokeWelshCorgi	Sighthound
ScottishDeerhound	Sighthound
ShetlandSheepdog	Sighthound
SpanishGalgo	Sighthound
Whippet	Sighthound
AmericanWaterSpaniel	Spaniel
BoykinSpaniel	Spaniel
CavalierKingCharlesSpaniel	Spaniel
ClumberSpaniel	Spaniel
CockerSpanielAmerican	Spaniel
CockerSpanielEnglish	Spaniel
EnglishSpringerSpaniel	Spaniel
FieldSpaniel	Spaniel
SussexSpaniel	Spaniel
WelshSpringerSpaniel	Spaniel
Akita	Spitz
AlaskanHusky	Spitz
AlaskanMalamute	Spitz
AmericanEskimoDog	Spitz
BrusselsGriffon	Spitz
ChineseSharpei	Spitz
ChowChow	Spitz
EastSiberianLaika	Spitz
Eurasier	Spitz
FinnishLapphund	Spitz
FinnishSpitz	Spitz
Greenlad_sled_herd_dog (should be Greenland)	Spitz
Grossspitz	Spitz
Jamthund	Spitz
JapaneseChin	Spitz
LhasaApso	Spitz
MiniatureSchnauzer	Spitz
NorwegianBuhund	Spitz
NorwegianLundehund	Spitz
Papillon	Spitz
Pekingese	Spitz
Pomeranian	Spitz
Pug	Spitz
Samoyed	Spitz
Schipperke	Spitz
ShibaInu	Spitz
ShihTzu	Spitz
SiberianHusky	Spitz
StandardSchnauzer	Spitz
SwedishLapphund	Spitz
TibetanMastiff	Spitz
TibetanSpaniel	Spitz
Affenpinscher	Terrier
AiredaleTerrier	Terrier
AmericanHairlessTerrier	Terrier
AustralianTerrier	Terrier
BedlingtonTerrier	Terrier
BiewerTerrier	Terrier
BorderCollie	Terrier
BorderTerrier	Terrier
CairnTerrier	Terrier
CeskyTerrier	Terrier
Chihuahua	Terrier
ChineseCrested	Terrier
DandieDinmontTerrier	Terrier
GermanHuntingTerrier	Terrier
GlenofImaalTerrier	Terrier
Heideterrier	Terrier
IrishTerrier	Terrier
JackRussellTerrier	Terrier
KerryBlueTerrier	Terrier
MiniaturePinscher	Terrier
NorfolkTerrier	Terrier
NorwichTerrier	Terrier
ParsonsRussellTerrier	Terrier
PitBullTerrier	Terrier
ScottishTerrier	Terrier
SealyhamTerrier	Terrier
SilkyTerrier	Terrier
SkyeTerrier	Terrier
SmoothFoxTerrier	Terrier
SoftCoatedWheatenTerrier	Terrier
StdManchesterTerrier	Terrier
TeddyRooseveltTerrier	Terrier
TibetanTerrier	Terrier
ToyFoxTerrier	Terrier
WelshTerrier	Terrier
WestHighlandWhiteTerr	Terrier
WireFoxTerrier	Terrier
YorkshireTerrier	Terrier
BichonFrise	Waterdog
CotonDeTulear	Waterdog
Havanese	Waterdog
LagottoRomagnolo	Waterdog
Lowchen	Waterdog
Maltese	Waterdog
MiniaturePoodle	Waterdog
PortugueseWaterDog	Waterdog
SpanishWaterDog	Waterdog
StandardPoodle	Waterdog
ToyPoodle	Waterdog
BlackBackedJackal	Wild_Canid
SideStripedJackal	Wild_Canid
GlenofImallTerrier (this isn't a breed -- should be Imaal)	
KellyBlueTerrier (this isn't a breed -- should be Kerry)	